Dimostra: derivazione RANS incompressibili	Parto da NS: \(\partial_i u_i=0\), \(\rho\partial_t u_i+\rho u_j\partial_j u_i=-\partial_i p+\partial_j\tau_{ij}\). Pongo \(u_i=\bar u_i+u_i'\), \(p=\bar p+p'\) e applico la media. Continuita: \(\partial_i\bar u_i=0\) e \(\partial_i u_i'=0\). Espando il convettivo: \(u_j\partial_j u_i=\bar u_j\partial_j\bar u_i+\bar u_j\partial_j u_i'+u_j'\partial_j\bar u_i+u_j'\partial_j u_i'\). Mediando: i due termini misti (una sola fluttuazione) si annullano perche \(\overline{u'}=0\); sopravvivono \(\bar u_j\partial_j\bar u_i\) e \(\overline{u_j'\partial_j u_i'}\). Risultato: \(\rho\partial_t\bar u_i+\rho\bar u_j\partial_j\bar u_i=-\partial_i\bar p+\partial_j(\bar\tau_{ij}-\rho\overline{u_i'u_j'})\).	PROOF
Dimostra: media della fluttuazione nulla	Da idempotenza (\(\bar{\bar u}=\bar u\)) e linearita: \(\overline{u'}=\overline{u-\bar u}=\bar u-\bar{\bar u}=\bar u-\bar u=0\).	PROOF
Dimostra: idempotenza dell'operatore di media	\(\bar u(\mathbf x)=\lim_{T\to\infty}\frac1T\int_t^{t+T}u\,dt'\) dipende solo da \(\mathbf x\), quindi e costante rispetto a \(t'\). Mediando di nuovo: \(\bar{\bar u}=\lim_{T\to\infty}\frac1T\int_t^{t+T}\bar u\,dt'=\bar u\,\lim_{T\to\infty}\frac1T\,T=\bar u\).	PROOF
Dimostra: linearita dell'operatore di media	Discende dalla linearita dell'integrale: \(\overline{au+bv}=\lim_{T\to\infty}\frac1T\int_t^{t+T}(au+bv)\,dt'=a\lim\frac1T\int u\,dt'+b\lim\frac1T\int v\,dt'=a\bar u+b\bar v\). Le costanti escono e l'integrale di una somma e la somma degli integrali.	PROOF
Dimostra: regola della media del prodotto	\(\overline{uv}=\overline{(\bar u+u')(\bar v+v')}=\bar u\bar v+\bar u\,\overline{v'}+\overline{u'}\,\bar v+\overline{u'v'}\). I due termini misti contengono una sola fluttuazione (\(\overline{u'}=\overline{v'}=0\)) e spariscono: \(\overline{uv}=\bar u\bar v+\overline{u'v'}\).	PROOF
Dimostra: perche il termine fluttuazione x derivata di un medio si annulla	Il termine e \(\overline{u_j'\,\partial_j\bar u_i}\). \(\partial_j\bar u_i\) e una grandezza gia mediata, quindi deterministica/costante rispetto all'operatore di media: esce per linearita. Resta \(\partial_j\bar u_i\cdot\overline{u_j'}=\partial_j\bar u_i\cdot0=0\). Differisce dal termine \(\overline{u_j'\partial_j u_i'}\) (due fluttuazioni), dove nulla esce e il risultato e \(\neq0\).	PROOF
Dimostra: k = -tr(R)/(2 rho)	Per definizione \(k=\tfrac12\overline{u_i'u_i'}\), cioe meta della traccia di \(\overline{u_i'u_j'}\): \(\mathrm{tr}(\overline{u_i'u_j'})=\overline{u_1'^2}+\overline{u_2'^2}+\overline{u_3'^2}=2k\). Poiche \(\mathbf R=-\rho\overline{u_i'u_j'}\), si ha \(\mathrm{tr}(\mathbf R)=-\rho\,\overline{u_i'u_i'}=-2\rho k\), da cui \(k=-\tfrac{1}{2\rho}\mathrm{tr}(\mathbf R)\).	PROOF
Dimostra: forma conservativa del termine turbolento via continuita	Regola del prodotto: \(\partial_j(u_i'u_j')=u_j'\partial_j u_i'+u_i'\partial_j u_j'\). Per continuita della fluttuazione \(\partial_j u_j'=0\), quindi il secondo termine e nullo: \(\overline{u_j'\partial_j u_i'}=\partial_j\overline{u_i'u_j'}\). Le due fluttuazioni finiscono sotto un'unica derivata, formando il tensore di Reynolds.	PROOF
Dimostra: decomposizione isotropa/anisotropa del tensore di Reynolds	Ogni tensore simmetrico: \(T_{ij}=\tfrac13 T_{kk}\delta_{ij}+(T_{ij}-\tfrac13 T_{kk}\delta_{ij})\). Per \(-\rho\overline{u_i'u_j'}\) la traccia e \(-2\rho k\), quindi la parte isotropa e \(-\tfrac23\rho k\,\delta_{ij}\) (assorbita nella pressione \(\bar p^*=\bar p+\tfrac23\rho k\)) e la parte anisotropa (traccia nulla) e quella modellata da Boussinesq con \(2\mu_T S_{ij}\).	PROOF
Dimostra: viscosita turbolenta k-epsilon per analisi dimensionale	\(\mu_T\sim\rho\,u_t\,l_t\). Le due scale dalla turbolenza: \([k]=m^2/s^2\Rightarrow u_t\sim k^{1/2}\); \([\varepsilon]=m^2/s^3\). La scala di lunghezza \(l_t\sim k^{3/2}/\varepsilon\). Quindi \(\mu_T\sim\rho\,k^{1/2}\,k^{3/2}/\varepsilon=\rho k^2/\varepsilon\), con costante \(C_\mu\): \(\mu_T=C_\mu\rho k^2/\varepsilon\). Verifica: \([k^2/\varepsilon]=m^2/s=\) viscosita cinematica.	PROOF
