Advezione lineare: soluzione	\( u_t+a\,u_x=0 \;\Rightarrow\; u(x,t)=u_0(x-at) \) (profilo traslato a velocita' \(a\))	FORMULE caratteristiche
Linea caratteristica (scalare/sistema)	\( \dfrac{dx}{dt}=a \) (scalare lin.); non lin. \( \dfrac{dx}{dt}=f'(u) \); sistema \( \dfrac{dx}{dt}=\lambda_k \)	FORMULE caratteristiche
Velocita' d'onda dal flusso	\( a=\dfrac{\partial f}{\partial u}\) ; \( f=au \Rightarrow a=\) cost (lineare)	FORMULE caratteristiche
Derivata materiale (1D)	\( \dfrac{Du}{Dt}=\dfrac{\partial u}{\partial t}+a\dfrac{\partial u}{\partial x}=0 \) lungo \( dx/dt=a \)	FORMULE caratteristiche
Tempo di breaking (Burgers)	\( t_b=-\dfrac{1}{\min_\xi u_0'(\xi)} \) (serve \( u_0'<0 \), compressione)	FORMULE caratteristiche
Rarefazione autosimile (Burgers)	\( u(x,t)=\dfrac{x}{t} \) nel ventaglio di espansione	FORMULE caratteristiche
Autovalori di Eulero 1D	\( \lambda=\{\,u-a,\ u,\ u+a\,\} \) (acustiche \(u\pm a\) + entropia \(u\))	FORMULE caratteristiche
Sistema 2x2 onda: autovalori e natura	\( \lambda=\pm a\sqrt{\theta}\) ; \( \theta=1\) iperbolico, \( \theta=-1\) ellittico	FORMULE caratteristiche
Rankine-Hugoniot per Eulero (massa)	\( s\,[\![\rho]\!]=[\![\rho u]\!] \) (e q.moto \( s[\![\rho u]\!]=[\![p+\rho u^2]\!] \))	FORMULE caratteristiche
Dimostra: definizione linea caratteristica (scalare->sistema->multiD)	\( \frac{du}{dt}=u_t+\frac{dx}{dt}u_x \) vs \( u_t+au_x=0 \Rightarrow \frac{dx}{dt}=a,\ \frac{du}{dt}=0 \); non lin. \(f'(u)\); sistema \(\lambda_k\); multiD \( \det(\phi_t I+\sum_d A_d\phi_{x_d})=0 \)	PROOF caratteristiche
Dimostra: linea caratteristica via differenziale e Cramer	Sistema \( \{u_t+au_x=0;\ u_t\,dt+u_x\,dx=du\} \) \(\Rightarrow \det=dx-a\,dt=0 \Rightarrow dx/dt=a\) (curva su cui le derivate possono saltare)	PROOF caratteristiche
Dimostra: Rankine-Hugoniot per Burgers	\( f=u^2/2 \Rightarrow s=\dfrac{u_B^2/2-u_A^2/2}{u_B-u_A}=\dfrac{(u_A+u_B)}{2} \) (prodotto notevole). Media SOLO per Burgers	PROOF caratteristiche
Dimostra: autovalori di Eulero 1D	\( \det(A'-\lambda I)=0 \Rightarrow (\lambda-u)(\lambda-u-a)(\lambda-u+a)=0 \Rightarrow \lambda=\{u,\ u\pm a\} \) reali -> iperbolico	PROOF caratteristiche
